new_id,title,rating
2eb7bb8a,Toy Story (1995),4.0
2eb7bb8a,Grumpier Old Men (1995),4.0
2eb7bb8a,Heat (1995),4.0
2eb7bb8a,Seven (a.k.a. Se7en) (1995),5.0
2eb7bb8a,"Usual Suspects, The (1995)",5.0
2eb7bb8a,From Dusk Till Dawn (1996),3.0
2eb7bb8a,Bottle Rocket (1996),5.0
2eb7bb8a,Braveheart (1995),4.0
2eb7bb8a,Rob Roy (1995),5.0
2eb7bb8a,Canadian Bacon (1995),5.0
2eb7bb8a,Desperado (1995),5.0
2eb7bb8a,Billy Madison (1995),5.0
2eb7bb8a,Clerks (1994),3.0
2eb7bb8a,Dumb & Dumber (Dumb and Dumber) (1994),5.0
2eb7bb8a,Ed Wood (1994),4.0
2eb7bb8a,Star Wars: Episode IV - A New Hope (1977),5.0
2eb7bb8a,Pulp Fiction (1994),3.0
2eb7bb8a,Stargate (1994),3.0
2eb7bb8a,Tommy Boy (1995),5.0
2eb7bb8a,Clear and Present Danger (1994),4.0
2eb7bb8a,Forrest Gump (1994),4.0
2eb7bb8a,"Jungle Book, The (1994)",5.0
2eb7bb8a,"Mask, The (1994)",4.0
2eb7bb8a,Blown Away (1994),3.0
2eb7bb8a,Dazed and Confused (1993),4.0
2eb7bb8a,"Fugitive, The (1993)",5.0
2eb7bb8a,Jurassic Park (1993),4.0
2eb7bb8a,Mrs. Doubtfire (1993),3.0
2eb7bb8a,Schindler's List (1993),5.0
2eb7bb8a,So I Married an Axe Murderer (1993),4.0
2eb7bb8a,"Three Musketeers, The (1993)",4.0
2eb7bb8a,Tombstone (1993),5.0
2eb7bb8a,Dances with Wolves (1990),4.0
2eb7bb8a,Batman (1989),4.0
2eb7bb8a,"Silence of the Lambs, The (1991)",4.0
2eb7bb8a,Pinocchio (1940),5.0
2eb7bb8a,Fargo (1996),5.0
2eb7bb8a,Mission: Impossible (1996),3.0
2eb7bb8a,James and the Giant Peach (1996),5.0
2eb7bb8a,Space Jam (1996),3.0
2eb7bb8a,"Rock, The (1996)",4.0
2eb7bb8a,Twister (1996),3.0
2eb7bb8a,Independence Day (a.k.a. ID4) (1996),3.0
2eb7bb8a,She's the One (1996),4.0
2eb7bb8a,"Wizard of Oz, The (1939)",5.0
2eb7bb8a,Citizen Kane (1941),5.0
2eb7bb8a,"Adventures of Robin Hood, The (1938)",5.0
2eb7bb8a,"Ghost and Mrs. Muir, The (1947)",4.0
2eb7bb8a,Mr. Smith Goes to Washington (1939),5.0
2eb7bb8a,Escape to Witch Mountain (1975),3.0
2eb7bb8a,Winnie the Pooh and the Blustery Day (1968),5.0
2eb7bb8a,"Three Caballeros, The (1945)",5.0
2eb7bb8a,"Sword in the Stone, The (1963)",5.0
2eb7bb8a,Dumbo (1941),5.0
2eb7bb8a,Pete's Dragon (1977),3.0
2eb7bb8a,Bedknobs and Broomsticks (1971),5.0
2eb7bb8a,Alice in Wonderland (1951),5.0
2eb7bb8a,That Thing You Do! (1996),4.0
2eb7bb8a,"Ghost and the Darkness, The (1996)",5.0
2eb7bb8a,Swingers (1996),4.0
2eb7bb8a,Willy Wonka & the Chocolate Factory (1971),5.0
2eb7bb8a,Monty Python's Life of Brian (1979),5.0
2eb7bb8a,Reservoir Dogs (1992),5.0
2eb7bb8a,Platoon (1986),4.0
2eb7bb8a,Basic Instinct (1992),5.0
2eb7bb8a,E.T. the Extra-Terrestrial (1982),5.0
2eb7bb8a,"Abyss, The (1989)",4.0
2eb7bb8a,Monty Python and the Holy Grail (1975),5.0
2eb7bb8a,Star Wars: Episode V - The Empire Strikes Back (1980),5.0
2eb7bb8a,"Princess Bride, The (1987)",5.0
2eb7bb8a,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),5.0
2eb7bb8a,"Clockwork Orange, A (1971)",5.0
2eb7bb8a,Apocalypse Now (1979),4.0
2eb7bb8a,Star Wars: Episode VI - Return of the Jedi (1983),5.0
2eb7bb8a,Goodfellas (1990),5.0
2eb7bb8a,Alien (1979),4.0
2eb7bb8a,Psycho (1960),2.0
2eb7bb8a,"Blues Brothers, The (1980)",5.0
2eb7bb8a,Full Metal Jacket (1987),5.0
2eb7bb8a,Henry V (1989),5.0
2eb7bb8a,"Quiet Man, The (1952)",5.0
2eb7bb8a,"Terminator, The (1984)",5.0
2eb7bb8a,Duck Soup (1933),5.0
2eb7bb8a,"Shining, The (1980)",3.0
2eb7bb8a,Groundhog Day (1993),4.0
2eb7bb8a,Back to the Future (1985),5.0
2eb7bb8a,Highlander (1986),5.0
2eb7bb8a,Young Frankenstein (1974),5.0
2eb7bb8a,Fantasia (1940),5.0
2eb7bb8a,Indiana Jones and the Last Crusade (1989),5.0
2eb7bb8a,Pink Floyd: The Wall (1982),5.0
2eb7bb8a,"Nosferatu (Nosferatu, eine Symphonie des Grauens) (1922)",4.0
2eb7bb8a,Batman Returns (1992),3.0
2eb7bb8a,Sneakers (1992),3.0
2eb7bb8a,"Last of the Mohicans, The (1992)",3.0
2eb7bb8a,McHale's Navy (1997),3.0
2eb7bb8a,Best Men (1997),4.0
2eb7bb8a,Grosse Pointe Blank (1997),4.0
2eb7bb8a,Austin Powers: International Man of Mystery (1997),5.0
2eb7bb8a,Con Air (1997),4.0
2eb7bb8a,Face/Off (1997),5.0
2eb7bb8a,Men in Black (a.k.a. MIB) (1997),3.0
2eb7bb8a,Conan the Barbarian (1982),5.0
2eb7bb8a,L.A. Confidential (1997),5.0
2eb7bb8a,Kiss the Girls (1997),4.0
2eb7bb8a,"Game, The (1997)",5.0
2eb7bb8a,I Know What You Did Last Summer (1997),3.0
2eb7bb8a,Starship Troopers (1997),3.0
2eb7bb8a,"Big Lebowski, The (1998)",5.0
2eb7bb8a,"Wedding Singer, The (1998)",4.0
2eb7bb8a,Welcome to Woop-Woop (1997),4.0
2eb7bb8a,"Newton Boys, The (1998)",5.0
2eb7bb8a,Wild Things (1998),4.0
2eb7bb8a,Small Soldiers (1998),4.0
2eb7bb8a,All Quiet on the Western Front (1930),5.0
2eb7bb8a,Rocky (1976),5.0
2eb7bb8a,Labyrinth (1986),4.0
2eb7bb8a,Lethal Weapon (1987),4.0
2eb7bb8a,"Goonies, The (1985)",5.0
2eb7bb8a,Back to the Future Part III (1990),4.0
2eb7bb8a,Bambi (1942),5.0
2eb7bb8a,Saving Private Ryan (1998),4.0
2eb7bb8a,"Black Cauldron, The (1985)",5.0
2eb7bb8a,Flight of the Navigator (1986),4.0
2eb7bb8a,"Great Mouse Detective, The (1986)",5.0
2eb7bb8a,"Honey, I Shrunk the Kids (1989)",4.0
2eb7bb8a,"Negotiator, The (1998)",5.0
2eb7bb8a,"Jungle Book, The (1967)",5.0
2eb7bb8a,"Rescuers, The (1977)",5.0
2eb7bb8a,Return to Oz (1985),3.0
2eb7bb8a,"Rocketeer, The (1991)",5.0
2eb7bb8a,Sleeping Beauty (1959),4.0
2eb7bb8a,Song of the South (1946),4.0
2eb7bb8a,Tron (1982),4.0
2eb7bb8a,Indiana Jones and the Temple of Doom (1984),5.0
2eb7bb8a,"Lord of the Rings, The (1978)",5.0
2eb7bb8a,Charlotte's Web (1973),5.0
2eb7bb8a,"Secret of NIMH, The (1982)",5.0
2eb7bb8a,"American Tail, An (1986)",5.0
2eb7bb8a,Legend (1985),4.0
2eb7bb8a,"NeverEnding Story, The (1984)",5.0
2eb7bb8a,Beetlejuice (1988),4.0
2eb7bb8a,Willow (1988),4.0
2eb7bb8a,Toys (1992),2.0
2eb7bb8a,"Few Good Men, A (1992)",4.0
2eb7bb8a,Rush Hour (1998),4.0
2eb7bb8a,Edward Scissorhands (1990),5.0
2eb7bb8a,American History X (1998),5.0
2eb7bb8a,I Still Know What You Did Last Summer (1998),2.0
2eb7bb8a,Enemy of the State (1998),5.0
2eb7bb8a,King Kong (1933),4.0
2eb7bb8a,Very Bad Things (1998),5.0
2eb7bb8a,Psycho (1998),2.0
2eb7bb8a,Rushmore (1998),5.0
2eb7bb8a,Romancing the Stone (1984),4.0
2eb7bb8a,Young Sherlock Holmes (1985),3.0
2eb7bb8a,"Thin Red Line, The (1998)",5.0
2eb7bb8a,Howard the Duck (1986),4.0
